gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
A1BG,-0.012635579,-0.011775383,-0.014053128,-0.011845472,-0.01610572
A1CF,-0.012500817,-0.012349525,-0.0143305855,-0.012767755,0.632132
A2M,-0.012635409,-0.011775743,-0.01405373,-0.011846645,-0.01610496
A4GALT,-0.01263539,-0.011775813,-0.014053534,-0.011846253,-0.016105818
A4GNT,-0.0126347095,-0.0117783295,-0.014055386,-0.011847292,-0.016089484
AAAS,-0.012635391,-0.011775828,-0.014053606,-0.011845683,-0.016105501
AACS,-0.01263539,-0.011775849,-0.014053586,-0.011845781,-0.016105358
AADAT,-0.012635813,-0.011774298,-0.014054351,-0.011831951,-0.016125906
AAK1,-0.0126353875,-0.011774549,-0.014052199,-0.011844755,-0.016106455
AAMP,-0.0126351295,-0.011775605,-0.014050793,-0.0118524525,-0.01608757
AANAT,-0.012635411,-0.011776211,-0.014054454,-0.0118452925,-0.01610521
AAR2,-0.012635389,-0.011775826,-0.014053591,-0.0118457405,-0.016105607
AARS2,-0.012635559,-0.011774883,-0.014053665,-0.011836225,-0.016126843
AARSD1,-0.012635551,-0.011778888,-0.014060246,-0.01184301,-0.016102558
AASDHPPT,-0.012630049,-0.011793703,0.018973412,-0.012049108,-0.015898993
AASS,-0.012647272,-0.011709579,-0.014043784,-0.011304097,-0.017253933
AATF,-0.012636778,-0.011802096,-0.014110359,-0.011823329,-0.016079482
ABAT,-0.012616033,-0.011912319,-0.013919292,1.3184543,-0.021891847
ABCA1,-0.0126352245,0.01966668,-0.014053717,-0.011842115,-0.016110301
ABCA2,-0.01263539,-0.01166113,-0.014053609,-0.011845614,-0.016105607
ABCA7,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
ABCB1,-0.012647039,-0.011881437,-0.013730878,-0.014066571,-0.016745813
ABCB10,-0.012635376,-0.011775845,-0.014053628,-0.011844679,-0.016104953
ABCB4,-0.012640091,-0.011820607,-0.013919282,-0.01278618,-0.01635238
ABCB6,-0.012635296,-0.0117754545,-0.014052532,-0.011848,-0.016098008
ABCB7,0.02959803,-0.011792524,-0.014023158,-0.012048797,-0.015934877
ABCC1,-0.012634204,-0.011781176,-0.014042394,0.064898595,-0.016458718
ABCC11,-0.012634635,-0.011776369,-0.014042778,0.03353102,-0.016337588
ABCC3,-0.012635523,-0.011778334,-0.014059056,-0.011843472,-0.01610316
ABCC8,-0.012630475,-0.011776805,-0.001678588,-0.011764458,-0.016126262
ABCC9,-0.012635454,-0.011776979,-0.014053219,-0.011853186,-0.016094388
ABCD1,-0.011981521,-0.011778463,-0.014048068,-0.011876891,-0.016077975
ABCD2,-0.012635396,-0.011775917,-0.014053575,-0.011846262,-0.016104637
ABCD3,-0.012635398,-0.011775607,-0.0140536865,-0.011844733,-0.01610458
ABCD4,-0.012635529,-0.011778073,-0.014051537,-0.01187484,-0.016080407
ABCE1,-0.012637175,-0.011769994,-0.0140580395,-0.011775989,-0.016194513
ABCF1,-0.012635428,-0.011775609,-0.014053622,-0.011843505,-0.016110359
ABCG1,-0.012636029,-0.011771707,-0.014048418,-0.011858604,-0.016212367
ABCG2,-0.012653163,-0.011718988,-0.014100338,-0.011128257,-0.016997615
ABCG4,-0.0126309,-0.011790792,-0.010063097,-0.012017061,-0.015933597
ABCG8,-0.012635347,-0.011775639,-0.014052875,-0.011847747,-0.016098937
ABHD12,-0.0126353875,-0.011775838,-0.014053562,-0.011845893,-0.016105616
ABHD5,-0.012632628,-0.011785775,-0.014062124,-0.011852833,-0.016063198
ABHD6,-0.01263245,-0.011786531,-0.014061795,-0.011856468,-0.0160574
ABI1,-0.012627537,-0.011806506,-0.014065786,-0.011714571,0.08024786
ABI2,-0.012633703,-0.01176188,-0.014031244,-0.011845271,-0.016106497
ABI3,-0.012635427,-0.01177651,-0.014055107,-0.011845033,-0.016104931
ABL1,-0.01263534,-0.0023117068,-0.014053643,-0.011844562,-0.016107015
ABL2,-0.012635373,-0.011775751,-0.014053713,-0.011844032,-0.01610441
ABLIM2,-0.012649486,-0.011720051,-0.014067615,-0.011489943,-0.016756158
ABLIM3,-0.012633769,-0.011772393,-0.014046154,-0.011861298,-0.016132703
ABR,-0.01263573,-0.0117822355,-0.014067488,-0.011840151,-0.01609932
