gene,amp_freq,del_freq,mean_cnv
A1BG,0.43356643356643354,0.030303030303030304,2.9044289044289044
A1CF,0.3939393939393939,0.02564102564102564,2.6783216783216783
A2M,0.3962703962703963,0.06993006993006994,2.7715617715617715
A4GALT,0.2867132867132867,0.07459207459207459,2.400932400932401
A4GNT,0.46386946386946387,0.011655011655011656,2.983682983682984
AAAS,0.4219114219114219,0.037296037296037296,2.7482517482517483
AACS,0.4149184149184149,0.03496503496503497,2.7156177156177157
AADAT,0.26573426573426573,0.15151515151515152,2.282051282051282
AAK1,0.43123543123543123,0.006993006993006993,2.8065268065268065
AAMP,0.41025641025641024,0.027972027972027972,2.7086247086247086
AANAT,0.40559440559440557,0.027972027972027972,2.6806526806526807
AAR2,0.6247086247086248,0.004662004662004662,3.8344988344988344
AARS2,0.47785547785547783,0.02564102564102564,3.230769230769231
AARSD1,0.41025641025641024,0.023310023310023312,2.752913752913753
AASDHPPT,0.3916083916083916,0.07692307692307693,2.6783216783216783
AASS,0.4568764568764569,0.04195804195804196,2.9463869463869465
AATF,0.4382284382284382,0.006993006993006993,3.023310023310023
ABAT,0.3682983682983683,0.04195804195804196,2.662004662004662
ABCA1,0.37995337995337997,0.06060606060606061,2.6270396270396272
ABCA2,0.4382284382284382,0.04428904428904429,2.7925407925407923
ABCA7,0.2913752913752914,0.08857808857808858,2.3986013986013988
ABCB1,0.5571095571095571,0.016317016317016316,3.403263403263403
ABCB10,0.4965034965034965,0.013986013986013986,3.046620046620047
ABCB4,0.5594405594405595,0.013986013986013986,3.3962703962703964
ABCB6,0.41025641025641024,0.027972027972027972,2.6923076923076925
ABCB7,0.1864801864801865,0.38694638694638694,1.9090909090909092
ABCC1,0.3706293706293706,0.04428904428904429,2.6783216783216783
ABCC11,0.32167832167832167,0.07692307692307693,2.4662004662004664
ABCC3,0.4289044289044289,0.009324009324009324,2.7855477855477857
ABCC8,0.36596736596736595,0.04195804195804196,2.6317016317016315
ABCC9,0.4195804195804196,0.04428904428904429,3.011655011655012
ABCD1,0.22144522144522144,0.35664335664335667,2.0
ABCD2,0.4172494172494173,0.04428904428904429,2.7505827505827507
ABCD3,0.3123543123543124,0.05827505827505827,2.4428904428904428
ABCD4,0.31002331002331,0.07925407925407925,2.445221445221445
ABCE1,0.28438228438228436,0.0979020979020979,2.400932400932401
ABCF1,0.44522144522144524,0.046620046620046623,2.8554778554778553
ABCG1,0.22843822843822845,0.12354312354312354,2.2494172494172493
ABCG2,0.25874125874125875,0.11421911421911422,2.275058275058275
ABCG4,0.3962703962703963,0.08158508158508158,2.682983682983683
ABCG8,0.4172494172494173,0.013986013986013986,2.752913752913753
ABHD12,0.5827505827505828,0.013986013986013986,3.5524475524475525
ABHD5,0.2773892773892774,0.07459207459207459,2.3613053613053614
ABHD6,0.27972027972027974,0.09324009324009325,2.337995337995338
ABI1,0.4219114219114219,0.05128205128205128,2.8578088578088576
ABI2,0.4195804195804196,0.023310023310023312,2.7552447552447554
ABI3,0.4219114219114219,0.016317016317016316,2.727272727272727
ABL1,0.4195804195804196,0.04895104895104895,2.717948717948718
ABL2,0.5034965034965035,0.006993006993006993,3.0326340326340326
ABLIM2,0.289044289044289,0.11888111888111888,2.3682983682983685
ABLIM3,0.29836829836829837,0.08391608391608392,2.428904428904429
ABR,0.2494172494172494,0.12354312354312354,2.2843822843822843
ABRA,0.6946386946386947,0.009324009324009324,3.745920745920746
ABRAXAS1,0.25874125874125875,0.12354312354312354,2.272727272727273
ABRAXAS2,0.3986013986013986,0.027972027972027972,2.7412587412587412
ABT1,0.4195804195804196,0.055944055944055944,2.738927738927739
ABTB1,0.42657342657342656,0.009324009324009324,2.7855477855477857
ACAA1,0.2867132867132867,0.0675990675990676,2.4195804195804196
ACAA2,0.23776223776223776,0.19347319347319347,2.2237762237762237
ACACA,0.4428904428904429,0.006993006993006993,3.0372960372960374
ACACB,0.4289044289044289,0.02564102564102564,2.745920745920746
ACAD10,0.43356643356643354,0.02564102564102564,2.7645687645687644
ACAD8,0.372960372960373,0.08857808857808858,2.6083916083916083
ACAD9,0.43123543123543123,0.009324009324009324,2.797202797202797
ACADL,0.4219114219114219,0.02564102564102564,2.717948717948718
ACADM,0.32400932400932403,0.04428904428904429,2.4871794871794872
ACADS,0.42657342657342656,0.030303030303030304,2.7715617715617715
ACADSB,0.3986013986013986,0.030303030303030304,2.7156177156177157
ACADVL,0.24475524475524477,0.1258741258741259,2.265734265734266
ACAN,0.4195804195804196,0.027972027972027972,2.8578088578088576
ACAT1,0.38927738927738925,0.08624708624708624,2.662004662004662
ACAT2,0.3962703962703963,0.07692307692307693,2.5874125874125875
ACBD3,0.4965034965034965,0.013986013986013986,3.0536130536130535
ACBD6,0.5081585081585082,0.006993006993006993,3.0256410256410255
ACE,0.42424242424242425,0.018648018648018648,2.7645687645687644
ACE2,0.1864801864801865,0.40792540792540793,1.9044289044289044
ACER1,0.2703962703962704,0.07925407925407925,2.3496503496503496
ACER2,0.24708624708624707,0.15384615384615385,2.2867132867132867
ACER3,0.45454545454545453,0.030303030303030304,2.979020979020979
ACHE,0.5431235431235432,0.023310023310023312,3.2564102564102564
ACIN1,0.31934731934731936,0.06993006993006994,2.5291375291375293
ACKR1,0.5244755244755245,0.002331002331002331,3.086247086247086
ACKR2,0.27972027972027974,0.07692307692307693,2.3682983682983685
ACKR3,0.3916083916083916,0.053613053613053616,2.606060606060606
ACLY,0.4289044289044289,0.023310023310023312,3.31002331002331
ACMSD,0.40093240093240096,0.04195804195804196,2.664335664335664
ACO1,0.31934731934731936,0.09324009324009325,2.5687645687645686
ACO2,0.29836829836829837,0.07459207459207459,2.4125874125874125
ACOT1,0.31002331002331,0.07692307692307693,2.438228438228438
ACOT11,0.32400932400932403,0.03496503496503497,2.4871794871794872
ACOT12,0.2261072261072261,0.1048951048951049,2.2517482517482517
ACOT13,0.41025641025641024,0.05827505827505827,2.724941724941725
ACOT2,0.31002331002331,0.07692307692307693,2.438228438228438
ACOT4,0.31002331002331,0.07692307692307693,2.438228438228438
ACOT7,0.34032634032634035,0.055944055944055944,2.508158508158508
ACOT8,0.6363636363636364,0.006993006993006993,4.081585081585081
ACOX1,0.40326340326340326,0.027972027972027972,2.664335664335664
ACOX2,0.2773892773892774,0.09324009324009325,2.3333333333333335
ACOX3,0.2913752913752914,0.11888111888111888,2.382284382284382
ACP1,0.4149184149184149,0.027972027972027972,2.7482517482517483
ACP2,0.4195804195804196,0.02564102564102564,2.780885780885781
ACP5,0.3076923076923077,0.04895104895104895,2.491841491841492
ACR,0.28438228438228436,0.0979020979020979,2.3636363636363638
ACSBG1,0.3706293706293706,0.039627039627039624,2.596736596736597
ACSF3,0.3356643356643357,0.09090909090909091,2.5034965034965033
ACSL1,0.2261072261072261,0.19114219114219114,2.1468531468531467
ACSL3,0.4219114219114219,0.02564102564102564,2.7086247086247086
ACSL4,0.1958041958041958,0.372960372960373,1.9603729603729603
ACSL5,0.3822843822843823,0.037296037296037296,2.624708624708625
ACSM1,0.36596736596736595,0.037296037296037296,2.6433566433566433
ACSM2B,0.36596736596736595,0.03496503496503497,2.6456876456876457
ACSM5,0.36596736596736595,0.037296037296037296,2.6433566433566433
ACSS1,0.5827505827505828,0.009324009324009324,3.5641025641025643
ACSS2,0.62004662004662,0.004662004662004662,3.7948717948717947
ACSS3,0.40559440559440557,0.04195804195804196,2.664335664335664
ACTA1,0.4965034965034965,0.013986013986013986,3.0489510489510487
ACTBL2,0.24242424242424243,0.10955710955710955,2.282051282051282
ACTC1,0.32167832167832167,0.07226107226107226,2.4522144522144522
ACTG1,0.40792540792540793,0.02097902097902098,2.6946386946386944
ACTG2,0.4405594405594406,0.004662004662004662,2.8135198135198136
ACTL6A,0.5151515151515151,0.006993006993006993,3.1864801864801864
ACTL6B,0.5524475524475524,0.023310023310023312,3.358974358974359
ACTL7A,0.38461538461538464,0.0675990675990676,2.7156177156177157
ACTN1,0.31002331002331,0.07925407925407925,2.456876456876457
ACTN2,0.5034965034965035,0.011655011655011656,3.0675990675990676
ACTN3,0.44522144522144524,0.02097902097902098,2.913752913752914
ACTN4,0.3986013986013986,0.03263403263403263,2.8904428904428903
ACTR10,0.3123543123543124,0.06526806526806526,2.4871794871794872
ACTR1A,0.3473193473193473,0.05128205128205128,2.5221445221445222
ACTR1B,0.44522144522144524,0.013986013986013986,2.8648018648018647
ACTR2,0.4358974358974359,0.009324009324009324,2.7995337995337994
ACTR3,0.42657342657342656,0.018648018648018648,2.8135198135198136
ACTR3B,0.4195804195804196,0.06060606060606061,2.762237762237762
ACTR3C,0.4195804195804196,0.053613053613053616,2.7645687645687644
ACTR5,0.6293706293706294,0.004662004662004662,3.9207459207459205
ACTR6,0.4172494172494173,0.037296037296037296,2.7132867132867133
ACTR8,0.2727272727272727,0.09557109557109557,2.324009324009324
ACVR1,0.4125874125874126,0.027972027972027972,2.8648018648018647
ACVR1B,0.4219114219114219,0.046620046620046623,2.7086247086247086
ACVR1C,0.4149184149184149,0.027972027972027972,2.8624708624708624
ACVR2A,0.40093240093240096,0.04195804195804196,2.634032634032634
ACVR2B,0.2867132867132867,0.0675990675990676,2.414918414918415
ACVRL1,0.4219114219114219,0.046620046620046623,2.7062937062937062
ACY1,0.2680652680652681,0.10023310023310024,2.3076923076923075
ACYP2,0.4358974358974359,0.009324009324009324,2.7902097902097904
ADA,0.6410256410256411,0.004662004662004662,4.1142191142191145
ADAM10,0.3333333333333333,0.046620046620046623,2.5058275058275057
ADAM11,0.4125874125874126,0.02097902097902098,2.727272727272727
ADAM12,0.3916083916083916,0.027972027972027972,2.717948717948718
ADAM15,0.5244755244755245,0.004662004662004662,3.1188811188811187
ADAM17,0.42657342657342656,0.023310023310023312,2.7599067599067597
ADAM19,0.2913752913752914,0.07226107226107226,2.3986013986013988
ADAM2,0.47785547785547783,0.09557109557109557,2.825174825174825
ADAM21,0.3076923076923077,0.07925407925407925,2.4358974358974357
ADAM22,0.5571095571095571,0.016317016317016316,3.473193473193473
ADAM28,0.4405594405594406,0.14219114219114218,2.6736596736596736
ADAM30,0.3543123543123543,0.03496503496503497,2.6107226107226107
ADAM8,0.3822843822843823,0.03496503496503497,2.634032634032634
ADAM9,0.4755244755244755,0.0979020979020979,2.8578088578088576
ADAMTS1,0.23543123543123542,0.11421911421911422,2.272727272727273
ADAMTS12,0.4382284382284382,0.023310023310023312,3.1771561771561774
ADAMTS13,0.4358974358974359,0.04428904428904429,2.752913752913753
ADAMTS18,0.32167832167832167,0.08391608391608392,2.4778554778554778
ADAMTS2,0.29836829836829837,0.07459207459207459,2.428904428904429
ADAMTS4,0.5291375291375291,0.002331002331002331,3.128205128205128
ADAMTS5,0.23776223776223776,0.11188811188811189,2.277389277389277
ADAMTS7,0.3752913752913753,0.037296037296037296,2.596736596736597
ADAMTSL1,0.2540792540792541,0.1561771561771562,2.2843822843822843
ADAMTSL2,0.4358974358974359,0.04428904428904429,2.752913752913753
ADAMTSL3,0.3916083916083916,0.030303030303030304,2.65967365967366
ADAMTSL5,0.28205128205128205,0.09557109557109557,2.375291375291375
ADAP1,0.5617715617715617,0.006993006993006993,3.34032634032634
ADAP2,0.4289044289044289,0.011655011655011656,2.7855477855477857
