gene,avg_crispr_effect
A1BG,0.047771975045980644
A1CF,-0.013531725195066385
A2M,0.03597824164355251
A4GALT,-0.05130875229428997
A4GNT,0.09101429761311589
AAAS,-0.2490549556953252
AACS,0.04897054788157111
AADAT,-0.027108155056729928
AAK1,-0.13868978335961168
AAMP,-0.9975871236986225
AANAT,-0.13884671018105113
AAR2,-0.05658601234771822
AARS2,-0.7155875207037882
AARSD1,-0.1920896598197355
AASDHPPT,-0.42761546644152115
AASS,0.04655058452583534
AATF,-0.7181795628912435
ABAT,0.004646718927866961
ABCA1,-0.02350050093188518
ABCA2,0.05894219858357086
ABCA7,0.14208144614408136
ABCB1,-0.12621769600554686
ABCB10,-0.27297822727015925
ABCB4,-0.023569212150918215
ABCB6,0.03837288986599311
ABCB7,-1.0093246889447816
ABCC1,0.01922936163395686
ABCC11,0.02089965762675889
ABCC3,-0.02071501696950355
ABCC8,0.06879902618537483
ABCC9,-0.016775138113344468
ABCD1,-0.11517358793711399
ABCD2,-0.02099875487173517
ABCD3,-0.1554940307106281
ABCD4,-0.0979256797912317
ABCE1,-1.8100280134024986
ABCF1,-1.125235820690645
ABCG1,-0.05628319633331476
ABCG2,0.08954672585947786
ABCG4,0.05352387148090759
ABCG8,0.02442809669593222
ABHD12,0.04852288595259894
ABHD5,-0.03910363679675749
ABHD6,0.07055907390297829
ABI1,-0.07061369373387229
ABI2,0.09673126108367469
ABI3,0.028965025265256003
ABL1,-0.05324203748001264
ABL2,0.09720268039137009
ABLIM2,0.018360458625345914
ABLIM3,0.058290512330261376
ABR,-0.02806116461186192
ABRA,-0.0027480297711037134
ABRAXAS1,-0.20804847211316796
ABRAXAS2,0.09176638444120333
ABT1,-0.851937790124146
ABTB1,0.06995393704336134
ACAA1,0.10440217624914717
ACAA2,-0.05976775689746355
ACACA,-0.4062169659345942
ACACB,-0.11330520527937389
ACAD10,-0.06947046035568673
ACAD8,0.12438100250590611
ACAD9,-0.2649207882907372
ACADL,-0.023924895567517774
ACADM,0.027437988752706977
ACADS,-0.007262017231726566
ACADSB,-0.09547532953213483
ACADVL,0.01722392918438977
ACAN,-8.171338331796627e-05
ACAT1,0.09317874160428524
ACAT2,0.13167149523300162
ACBD3,-0.013999600112787435
ACBD6,0.06432347952956345
ACE,-0.10451037162309912
ACE2,0.20552374088519365
ACER1,-0.015727593963483395
ACER2,0.04017431633644373
ACER3,0.05985116005855846
ACHE,-0.22364222280375587
ACIN1,-0.6971325050900179
ACKR1,-0.033052511997907076
ACKR2,0.0972950425684298
ACKR3,0.09509919905057095
ACLY,-0.6030517510746881
ACMSD,0.07930514341550336
ACO1,0.06721658132693607
ACO2,-1.0348959616613556
ACOT1,0.4231278941746446
ACOT11,0.024794766631159745
ACOT12,-0.19509649456846243
ACOT13,-0.008832934119319473
ACOT2,0.04476729788069524
ACOT4,-0.1464384530889628
ACOT7,0.06684158807158438
ACOT8,0.03447628682422401
ACOX1,-0.18575938505698683
ACOX2,-0.062480825289100025
ACOX3,0.07542640729616996
ACP1,0.18770186230456562
ACP2,0.07348178688419463
ACP5,0.009961877016928515
ACR,-0.1014047700220475
ACSBG1,0.03113090555317802
ACSF3,0.08026503807010225
ACSL1,0.0204400924139973
ACSL3,-0.3293351773529057
ACSL4,-0.04407242373544563
ACSL5,0.02210284108074623
ACSM1,-0.013273606141547555
ACSM2B,0.13735848319895458
ACSM5,0.014496395394299316
ACSS1,0.09677493328670382
ACSS2,0.11494752160875402
ACSS3,0.03319530908716284
ACTA1,-0.09192351296045403
ACTBL2,0.06352348691059607
ACTC1,-0.0015407492477656811
ACTG1,-0.7634580293913136
ACTG2,0.03431198177768338
ACTL6A,-1.4422196589095466
ACTL6B,0.014868940440790344
ACTL7A,-0.11555713515673546
ACTN1,-0.056528774528304675
ACTN2,0.0822095764063255
ACTN3,-0.22170258493892486
ACTN4,0.028434059915105524
ACTR10,-1.20745434398101
ACTR1A,-1.0973108822281925
ACTR1B,-0.30088520867907215
ACTR2,-1.3466563269185812
ACTR3,-0.4197926906655071
ACTR3B,0.09131403745181746
ACTR3C,-0.10619021126720456
ACTR5,-0.23041195418826188
ACTR6,-0.717731785677719
ACTR8,-0.47913524607795366
ACVR1,0.08591632140299336
ACVR1B,-0.12867624452396512
ACVR1C,0.1315550871801866
ACVR2A,0.001951599050530139
ACVR2B,0.04680114622894898
ACVRL1,0.02141868689053809
ACY1,0.058029998393644686
ACYP2,0.05489626509603274
ADA,-0.01731784648912012
ADAM10,-0.02419019213290377
ADAM11,-0.23071767904090495
ADAM12,-0.0032882407268091263
ADAM15,-0.07175401273161348
ADAM17,-0.03405524374396212
ADAM19,0.13771914328927837
ADAM2,-0.025724300315992706
ADAM21,-0.0407824423596857
ADAM22,-0.050331628489488495
ADAM28,0.0938454349993516
ADAM30,-0.10584990720424126
ADAM8,0.18640045586828305
ADAM9,0.0011454545936650476
ADAMTS1,-0.06033683449923681
ADAMTS12,0.11514868633113458
ADAMTS13,-0.03485169958301546
ADAMTS18,0.06061593947668566
ADAMTS2,0.022602963456280094
ADAMTS4,-0.12435585143540766
ADAMTS5,0.0649733767964293
ADAMTS7,0.08241021381589028
ADAMTSL1,0.08693118121927257
ADAMTSL2,0.06130843783791195
ADAMTSL3,0.07759110583478182
ADAMTSL5,-0.15271347288752216
ADAP1,-0.02744636804889916
ADAP2,-0.1996111232308323
ADAR,-0.8991975558382468
ADCY1,0.045439921968945314
ADCY10,0.02671132144874988
ADCY2,0.0877421890093079
ADCY3,-0.11176368453738092
ADCY5,0.08274679873946225
ADCY6,0.010157972227456463
ADCY7,0.1636069558564433
ADCY8,-0.0268841276977115
ADCY9,0.04571069042270645
ADCYAP1,0.14711098175052084
ADD1,0.019093156437702426
ADD2,-0.06839296710003423
ADD3,0.038581315829587515
ADGRA2,0.05073578643550162
ADGRB1,0.024650712357141676
ADGRE5,0.048728497050802434
ADGRF5,-0.21940176608929238
ADGRG3,-0.1747718806980315
ADGRL1,0.016161647415124804
ADGRL2,-0.009060520192551946
ADGRL3,-0.0034333993971612546
ADH1A,0.012262079040851892
ADH1B,0.0014998319398053898
ADH1C,-0.22170258493892486
ADH4,0.07642400144268631
ADH5,-0.132725425231975
ADH7,0.11253303483876237
ADHFE1,-0.07410376573750903
ADI1,0.00870732852161294
ADIPOQ,0.08136483675104769
ADIPOR1,-0.02077635603498074
ADIPOR2,0.09114048722082926
ADK,-0.06372573093622533
ADM,0.07521190274529883
ADNP,-0.2327371585383104
ADO,-0.04048899471095292
ADORA1,-0.049713214053006535
ADORA2A,-0.07949911031497944
ADORA2B,0.0010119720477008627
ADPGK,-0.04489573907213199
ADRA1A,0.11822361823464024
ADRA1B,0.03971824123296925
ADRA1D,0.030319887671769078
ADRA2A,-0.019389557779705913
ADRA2B,-0.04381464292693498
ADRA2C,0.012907031831655537
ADRB1,0.1048505013578774
ADRB2,-0.030838417563762464
ADRB3,0.02880178031401844
ADRM1,-0.3698623820616718
ADSL,-1.170558860650658
AEBP2,-0.05347624488464879
AFAP1,0.11814008485574681
AFDN,-0.055016368879778024
AFF1,0.06916543859343281
AFF4,-0.06473391704744795
AFG3L2,-1.2482530851714126
AFMID,-0.01313198626103453
AGA,0.1409752217435078
AGAP2,-0.30590045153027107
AGER,0.08843678607564517
AGFG1,-0.01992320539076263
AGGF1,0.11543850516821655
AGL,-0.12659712481172988
AGMAT,-0.06901517649272636
AGMO,0.08792522838177462
AGO1,-0.13532812075609682
AGO2,-0.051593496288063694
AGO3,-0.06965436146242099
AGO4,-0.04349419636909773
AGPAT1,0.009531387357565427
AGPAT2,0.013217060171626691
AGPAT3,0.009983529197001443
AGPAT4,0.07263846098893416
AGPAT5,0.09185141892045438
AGPS,0.005331893051093833
AGR2,0.022522773281477518
AGR3,-0.03308239703212746
AGRN,-0.1039482303884092
AGRP,-0.03203051172697413
AGT,0.042370509633112015
AGTR1,-0.07438966246580564
AGTR2,-0.006515044704605663
AGTRAP,0.1040285464439931
AGXT,0.03331655043198935
AGXT2,0.08091450253848337
AHCTF1,-1.0884542805239572
AHCY,-0.8846576888176919
AHCYL1,-0.42156468625883103
AHCYL2,-0.03598237949990386
AHI1,-0.015320186458637742
AHNAK,-0.18617740653871906
AHR,0.04181380685342422
AHRR,-0.07994005727725426
AHSA1,-0.07546305831221573
AHSG,0.041920810280946
AHSP,0.023545584638342283
AICDA,0.08769720014974884
AIF1,-0.15856951273288852
AIFM1,-0.7936740046857887
AIFM2,-0.02920264139967439
AIM2,0.07474564250356001
AIMP1,-0.07247573123329304
AIMP2,-0.199690215858289
AIP,-0.13054396543202448
AIPL1,-0.029330411800038463
AJAP1,0.07262735140587548
AJUBA,0.03568218815318396
AK2,-0.1834273147761385
AK3,0.0015996979618759367
AK4,-0.3883411710365316
AK5,0.08509330347365347
AK8,-0.07231556979681664
AKAP1,-0.0358083034690539
AKAP10,-0.02545338614628433
AKAP12,-0.0209994375598177
AKAP13,-0.004595175435537591
AKAP14,0.05429949166205174
AKAP3,-0.04689565055040121
AKAP4,0.035995935632856225
AKAP5,0.041976956780979714
AKAP7,0.07695994691642945
AKAP8,-0.08638753597285569
AKAP8L,-0.19177791827690702
AKAP9,0.004676875866059944
AKIRIN1,-0.33491313483235796
AKIRIN2,-0.8546897269458109
AKR1A1,0.010946938682972456
AKR1B1,0.1871025460156441
AKR1C1,-0.22170258493892486
AKR1C2,0.01631645677029186
AKR1C3,-0.024575094319319084
AKR1C4,0.07311914027605786
AKR1D1,-0.03405567356854901
AKR7A2,-0.00892860153960724
AKR7A3,-0.18616093674403633
AKT1,-0.09367891398969781
AKT1S1,0.059298197943916525
AKT2,-0.059797381250597886
AKT3,0.1160765220619273
AKTIP,-0.2257072672868946
ALAD,-0.10969766115385182
ALAS1,-0.12283757813933527
ALB,0.05758333045240253
ALCAM,-0.010938655147096377
ALDH18A1,-0.10847931597345754
ALDH1A1,0.009388986996208338
ALDH1A2,-0.03800765230232095
ALDH1A3,0.16871800073179427
ALDH1B1,-0.04468050539847159
ALDH1L1,-0.061381881115314126
ALDH1L2,-0.0034464120399114147
ALDH2,-0.04880613900332293
ALDH3A1,0.02941449304954086
ALDH3A2,0.03723916117232528
ALDH3B1,-0.22170258493892486
ALDH4A1,-0.044462566902870176
ALDH5A1,-0.010652519404184272
ALDH6A1,-0.07754324301927346
ALDH9A1,-0.03119148735052602
ALDOC,-0.19534679506704744
ALG1,-1.0758492216232687
ALG10,-0.2018531744853047
ALG10B,-0.21481160720492096
ALG11,-1.5915808263862192
ALG12,-0.13331091879912418
ALG13,-1.1610596821729566
ALG14,-0.9771110391146467
ALG2,-1.64086287510276
ALG3,-0.016579019723046862
ALG5,-0.36032524675713223
ALG8,-0.40093317493678815
ALG9,-0.06366266324089315
ALK,-0.07920440975545141
ALKBH1,-0.07232617753670732
ALKBH2,0.057829984320962514
ALKBH3,-0.05369297472590328
ALKBH4,-0.14213533508094736
ALKBH5,-0.12286074331655522
ALKBH7,-0.06448375115104782
ALKBH8,0.05039886415956702
ALMS1,-0.07693933862280128
ALOX12,0.0994205392257639
ALOX15,-0.017662845937018896
ALOX15B,0.07902239813937224
ALOX5,-0.13060260828584744
ALOX5AP,0.08676849560036103
ALPG,-0.013102748490741663
ALPI,0.05044740998523226
ALPL,0.0029350343138367417
ALPP,0.14419223033963413
ALS2,0.0836040804562761
ALS2CL,-0.0640186546108136
ALYREF,-1.0727778690972747
AMACR,0.042628468171150694
AMBN,-0.05480589960518218
AMBP,0.0006416983670792444
AMBRA1,-0.26607473864866155
AMD1,-0.4892324954545078
AMDHD1,-0.07432883327371743
AMELX,0.08017097280646776
AMFR,-0.14595942780147364
AMH,0.016956291726804473
AMHR2,-0.04244741139414977
AMN,0.012307650566869216
AMOT,0.05953503501485859
AMOTL1,0.026970671775509415
AMPD1,-0.1326924681766419
AMPD3,-0.017250319627828702
AMPH,-0.019757109097877118
AMT,0.1166289066584723
AMTN,0.025145822515331852
AMY1A,-0.22170258493892486
AMY1B,-0.22170258493892486
AMY1C,-0.22170258493892486
ANAPC1,-1.3768645686066001
ANAPC10,-1.1239743796489727
ANAPC11,-1.7144475646520627
ANAPC13,-0.5501018638937865
ANAPC15,-0.5518154282510748
ANAPC16,-0.020081257295336843
ANAPC2,-1.437590724956767
ANAPC4,-1.0571095971032527
ANAPC5,-1.114595086949677
ANAPC7,-0.1536335815322738
ANG,-0.10528542235853286
ANGPT1,-0.04973994310186078
ANGPT2,0.09127980011501763
ANGPT4,0.22828751893528543
ANGPTL3,0.03649043151342959
ANGPTL4,-0.04887826247347388
ANK1,0.08966051566855568
ANK2,0.09498784723820498
ANK3,-0.056608334357834654
ANKFY1,-0.10679617162959172
