gene,avg_crispr_effect
A1BG,-0.03986337611033945
A1CF,-0.006325225488991469
A2M,-0.006707987683848125
A4GALT,-0.03565101117689157
A4GNT,0.04283049191554779
AAAS,-0.24775735366035978
AACS,-0.052677643018060896
AADAT,-0.046112268250480495
AAK1,-0.30523150001875443
AAMP,-0.9029362947924036
AANAT,-0.1390396754711028
AAR2,-0.044181630215183836
AARS2,-0.39041321470220913
AARSD1,-0.19660453437628467
AASDHPPT,-0.31368013898344405
AASS,0.007730876740809817
AATF,-0.7223078762166926
ABAT,-0.05532907384561431
ABCA1,-0.05108127695523983
ABCA2,-0.03641548956082459
ABCA7,0.05484835309805852
ABCB1,-0.08039286107723281
ABCB10,-0.2301602838601312
ABCB4,-0.06428541520834619
ABCB6,0.03756962141419082
ABCB7,-1.0854010609555749
ABCC1,0.06535187994145628
ABCC11,0.036976408876634156
ABCC3,-0.026523111657244428
ABCC8,0.03577053118932337
ABCC9,-0.06702386530183478
ABCD1,-0.16703657732153893
ABCD2,-0.025876223069930888
ABCD3,-0.12700915643316305
ABCD4,-0.14100387497027195
ABCE1,-2.0244705185477825
ABCF1,-1.0633394470345816
ABCG1,-0.01781391752967009
ABCG2,0.10074933532787714
ABCG4,0.057131449882509
ABCG8,0.03975017417596464
ABHD12,0.04305839936798615
ABHD5,-0.06270277334378496
ABHD6,0.08685847348358652
ABI1,-0.04569755764932323
ABI2,0.08578743679541088
ABI3,0.059523518818603384
ABL1,0.014862440598106937
ABL2,0.12656665429526012
ABLIM2,0.07117971089176625
ABLIM3,0.06261385414178125
ABR,-0.028337632958529778
ABRA,-0.03507089866465091
ABRAXAS1,-0.26205679275614113
ABRAXAS2,0.22383039228360613
ABT1,-0.8499543423996218
ABTB1,0.08813473982469883
ACAA1,0.11696417437607096
ACAA2,-0.04520585437723215
ACACA,-0.4772085033545862
ACACB,-0.11463350054229705
ACAD10,-0.03177132482355117
ACAD8,0.04767083600091543
ACAD9,-0.14200236905728603
ACADL,-0.027380264844605016
ACADM,-0.017834287388962918
ACADS,-0.024033734408737985
ACADSB,-0.09765031406356976
ACADVL,-0.0746307549990814
ACAN,-0.05613205311168605
ACAT1,0.1018192960455812
ACAT2,0.10493513773992284
ACBD3,-0.002896596301120914
ACBD6,0.041960208985939974
ACE,-0.14906170852866485
ACE2,0.23298075731877033
ACER1,-0.041160643400804685
ACER2,-0.031558448522867835
ACER3,0.11310638212983598
ACHE,-0.26953906646299175
ACIN1,-0.7029949945808378
ACKR1,-0.07975811753289962
ACKR2,0.08070246913594883
ACKR3,0.054898022482340325
ACLY,-0.4649614519010199
ACMSD,0.15614893824643145
ACO1,0.013207176415872237
ACO2,-0.387817998150749
ACOT1,0.30443477259808327
ACOT11,-0.05495965324249953
ACOT12,-0.3149451027786581
ACOT13,-0.007804271438182742
ACOT2,0.07606712904028186
ACOT4,-0.05649689337772433
ACOT7,0.05084846634595165
ACOT8,0.04635364972782141
ACOX1,-0.18517090638490558
