gene,avg_crispr_effect
A1BG,0.06003383737680877
A1CF,-0.006354607137699937
A2M,0.03187388484632441
A4GALT,-0.061382761399820455
A4GNT,0.09526468953891255
AAAS,-0.29586623961649605
AACS,0.03761763986082689
AADAT,-0.03613482327998942
AAK1,-0.2101243238898636
AAMP,-0.9215455137952698
AANAT,-0.10692126577015508
AAR2,-0.09496805883108592
AARS2,-0.7229759412717243
AARSD1,-0.1844721697139059
AASDHPPT,-0.4077278513543112
AASS,-0.016282806219920332
AATF,-0.6922457182360164
ABAT,0.00929873434602518
ABCA1,0.020302091501699135
ABCA2,0.035251814663034536
ABCA7,0.09014953098652043
ABCB1,-0.10535126316537258
ABCB10,-0.2896255909835874
ABCB4,-0.042575371857201144
ABCB6,0.019296312904247884
ABCB7,-1.06094352768804
ABCC1,-0.002249635828404815
ABCC11,0.016104531500326796
ABCC3,-0.06769524264236573
ABCC8,0.06526093192111516
ABCC9,-0.015778060471012427
ABCD1,-0.162028790881115
ABCD2,-0.07081658686079255
ABCD3,-0.11537794616499504
ABCD4,-0.10913255604357557
ABCE1,-1.8348164880608073
ABCF1,-0.9539139407103883
ABCG1,-0.01947616868298009
ABCG2,0.09446700854058207
ABCG4,0.054230905777280826
ABCG8,0.04080620492724873
ABHD12,0.008753378431199735
ABHD5,-0.0810088004457476
ABHD6,0.09519536462957663
ABI1,-0.09378798317826939
ABI2,0.07870903366929019
ABI3,0.07915252885130614
ABL1,-0.0016750602724844264
ABL2,0.09847831649232812
ABLIM2,0.04107335176759495
ABLIM3,0.10252311464283799
ABR,-0.01673539769117365
ABRA,-0.00438678828695336
ABRAXAS1,-0.2295607072691095
ABRAXAS2,0.15118457586189454
ABT1,-0.7383187120374595
ABTB1,0.032871821943056385
ACAA1,0.0580562996460754
ACAA2,-0.09298581964274297
ACACA,-0.43500943299131195
ACACB,-0.06430147294455377
ACAD10,-0.07964080153241139
ACAD8,0.026315969894964705
ACAD9,-0.328090326815137
ACADL,-0.05161239371493795
ACADM,-0.0020974367593573897
ACADS,0.02265062575424351
ACADSB,-0.12904990498835867
ACADVL,0.005689167959884808
ACAN,0.028113413699045506
ACAT1,0.09488471619012608
ACAT2,0.0938038248193216
ACBD3,-0.004121422831343945
ACBD6,0.046614902829083336
ACE,-0.09905148423459137
ACE2,0.21449090765672352
ACER1,-0.019790657705892396
ACER2,-0.0008417176825226587
ACER3,0.05013079646652034
ACHE,-0.23110624604891317
ACIN1,-0.8475647112543707
ACKR1,-0.017496208258327983
ACKR2,0.10103213719285103
ACKR3,0.05968766351464653
ACLY,-0.6143633290015765
ACMSD,0.06420915328288485
ACO1,0.045806828279187445
ACO2,-0.7712501188451824
ACOT1,0.4114715354823955
ACOT11,0.03804094656353798
ACOT12,-0.2724304824812358
ACOT13,0.06063742785422962
ACOT2,0.018118630760285893
ACOT4,-0.16702505039879123
ACOT7,0.0281423228041712
ACOT8,0.0335852123554812
ACOX1,-0.1823036784561765
ACOX2,-0.04381540693636086
ACOX3,0.08444782905160694
ACP1,0.20015452307701265
ACP2,0.06060356358336358
ACP5,0.015246410721206248
ACR,-0.1599279387812399
ACSBG1,0.05764767193292258
ACSF3,0.07454945907079497
ACSL1,0.0048573610675827945
ACSL3,-0.35272591215829063
ACSL4,-0.08541352094408704
ACSL5,0.014765401421582097
ACSM1,-0.004492315639070505
ACSM2B,0.15290026372290566
ACSM5,0.026840547603539176
ACSS1,0.08687384362894487
ACSS2,0.158761056111823
ACSS3,0.02634733030025262
ACTA1,-0.07495414169580202
ACTBL2,0.05969556763325237
ACTC1,0.027331530840115095
ACTG1,-0.6792075053568191
ACTG2,0.02315890970463327
ACTL6A,-1.693471907772163
ACTL6B,0.029635047672492025
ACTL7A,-0.09107538144116036
ACTN1,-0.15887673302717387
ACTN2,0.04253683318660889
ACTN3,-0.22245677910808054
ACTN4,0.016191395228825695
ACTR10,-1.225915095388252
ACTR1A,-0.813542668864444
ACTR1B,-0.24053613061102658
ACTR2,-1.4131296779203064
ACTR3,-0.5083211699819481
ACTR3B,-0.06840940407441054
ACTR3C,-0.16917182425580737
ACTR5,-0.2756671883769985
ACTR6,-0.7981665045212868
ACTR8,-0.49872579053557775
ACVR1,0.017929722928042402
ACVR1B,-0.0924910761512602
ACVR1C,0.10977529952257235
ACVR2A,-0.02678766748014682
ACVR2B,0.06484809170164577
ACVRL1,0.0260197654355179
ACY1,0.0697569354769397
ACYP2,0.055159495995224864
ADA,-0.03781808839981606
ADAM10,-0.049781754340673987
ADAM11,-0.23238763906197982
ADAM12,-0.023756756756031925
ADAM15,-0.08504147481581475
ADAM17,-0.03225784097380482
ADAM19,0.1517989600449789
ADAM2,-0.04044167855831816
ADAM21,-0.06655301772578653
ADAM22,-0.03901698226458253
ADAM28,0.09046282475105044
ADAM30,-0.1171126444967841
ADAM8,0.2073066417012652
ADAM9,-0.015483279677823453
ADAMTS1,-0.04614765734682799
ADAMTS12,0.18817441518679304
ADAMTS13,-0.032468172777242246
ADAMTS18,0.05916444842493021
ADAMTS2,0.054122947019037984
ADAMTS4,-0.0992237252352204
ADAMTS5,0.07323259579948517
ADAMTS7,0.11935567130484813
ADAMTSL1,0.0797123933278954
ADAMTSL2,0.0765147741760665
ADAMTSL3,0.03515171424423291
ADAMTSL5,-0.22344026701972936
ADAP1,-0.004774226839395712
ADAP2,-0.1793268518606584
ADAR,-0.3650106064379227
ADCY1,0.0550592089780676
ADCY10,-0.032527436710465096
ADCY2,0.1432985427912395
ADCY3,-0.15943563583076004
ADCY5,0.12052404453364307
ADCY6,-0.008027708036085515
ADCY7,0.17012454620692777
ADCY8,-0.016792798205465514
ADCY9,0.12742424731792512
ADCYAP1,0.22408286434358166
ADD1,0.02593574301220152
ADD2,-0.06355633227262229
ADD3,0.09421675477056386
ADGRA2,0.03419616328663788
ADGRB1,0.04820752858027997
ADGRE5,0.07186845322578271
ADGRF5,-0.14752590679247496
ADGRG3,-0.1313862894547454
ADGRL1,0.014738543688874567
ADGRL2,-0.06916987790919948
ADGRL3,-0.03296942947212753
ADH1A,0.06238360494813988
ADH1B,0.042518543958043706
ADH1C,-0.22245677910808054
ADH4,0.04956334657491676
ADH5,-0.2208227944558346
ADH7,0.09252255921889757
ADHFE1,-0.041213802158161186
ADI1,-0.013394717771059167
ADIPOQ,0.06893386203083766
ADIPOR1,-0.029138278335324307
ADIPOR2,0.06722147893488647
ADK,-0.07475132212136529
ADM,0.041954870907441655
ADNP,-0.2513854771614955
ADO,-0.08702916836775687
ADORA1,-0.013749269954708931
ADORA2A,-0.07156745539719417
