gene,avg_crispr_effect
A1BG,0.02819480594059276
A1CF,-0.000922086958492471
A2M,0.012630398322194238
A4GALT,-0.10919342074455975
A4GNT,0.07589814055772989
AAAS,-0.3181926820416427
AACS,-0.010840968059576572
AADAT,-0.028114899024487553
AAK1,-0.17369134416470433
AAMP,-0.9145331040028117
AANAT,-0.16359927343020808
AAR2,-0.06073174955994695
AARS2,-0.6198870755020617
AARSD1,-0.24284110900426467
AASDHPPT,-0.42802417677967913
AASS,0.0436805195683948
AATF,-0.7119555885040656
ABAT,-0.03001445079890889
ABCA1,0.0002923326362764885
ABCA2,-0.0056182413955377375
ABCA7,0.06428552401984028
ABCB1,-0.11558691523900778
ABCB10,-0.26863076723766516
ABCB4,-0.07196435583894839
ABCB6,0.031184292315029383
ABCB7,-1.0575886991061778
ABCC1,0.017498687325127098
ABCC11,0.0703264293552598
ABCC3,-0.07555338013887605
ABCC8,0.03744611096207451
ABCC9,-0.014879616809342628
ABCD1,-0.07622767545883102
ABCD2,0.011957140802636445
ABCD3,-0.13195010059645523
ABCD4,-0.11184601355034494
ABCE1,-1.9304908919231012
ABCF1,-1.0975920975338302
ABCG1,-0.05265272360167674
ABCG2,0.07177455697019947
ABCG4,0.004151502326505408
ABCG8,0.02439928380882348
ABHD12,-0.03769622914540948
ABHD5,-0.07927423644936858
ABHD6,0.08707253097528947
ABI1,-0.02893264495296175
ABI2,0.10005313099715475
ABI3,0.010877621690271188
ABL1,0.0013892060711884152
ABL2,0.08849044630308325
ABLIM2,0.05416416269781756
ABLIM3,0.02754629645519204
ABR,-0.06808955019099917
ABRA,-0.07954328095517704
ABRAXAS1,-0.31885398993698116
ABRAXAS2,0.17193711822562657
ABT1,-0.79231163446776
ABTB1,0.06418580334618955
ACAA1,0.003821595760625543
ACAA2,-0.07064349560045327
ACACA,-0.2907181768588236
ACACB,-0.06709029408824006
ACAD10,-0.1022993692923012
ACAD8,0.042559164692402014
ACAD9,-0.18958662091247885
ACADL,0.013592081493712284
ACADM,0.043749052299565036
ACADS,-0.07197582321466757
ACADSB,-0.05933918408517037
ACADVL,0.010103293881315055
ACAN,0.03459876865222297
ACAT1,0.0301339853106805
ACAT2,0.1474409562032884
ACBD3,0.052298701803379595
ACBD6,0.11645889466696059
ACE,-0.12124814675606997
ACE2,0.2496929478263964
ACER1,-0.022972092893030153
ACER2,0.015956070189307947
ACER3,0.058345953922417086
ACHE,-0.26892463529235083
ACIN1,-0.6848049814456346
ACKR1,-0.053025811501341516
ACKR2,0.07532631009449367
ACKR3,0.07074511791327306
ACLY,-0.44766740727949783
ACMSD,0.10660205877647369
ACO1,0.06363318729201811
ACO2,-0.5633752278553054
ACOT1,-0.21568165354438812
ACOT11,0.082742985209998
ACOT12,-0.21330718522794348
ACOT13,0.1236560255035263
ACOT2,0.012325069081335776
ACOT4,-0.1555138966138082
ACOT7,0.0949573680884336
ACOT8,0.04687429201297469
ACOX1,-0.038968069522393574
ACOX2,-0.08961761655470503
ACOX3,0.0776780982714792
ACP1,0.12740780472093097
ACP2,0.054663510742500754
ACP5,0.0016759997644567371
ACR,-0.1329010913444488
ACSBG1,0.040692996689750204
ACSF3,0.018095049546605537
ACSL1,0.026509828413151883
ACSL3,-0.5391620088967597
ACSL4,-0.23883525857906643
ACSL5,0.05898341821652398
ACSM1,0.007593293963874295
ACSM2B,0.146965656633659
ACSM5,0.007246332998823319
ACSS1,0.07483289434261918
ACSS2,0.13650953160777657
ACSS3,0.06816172114609918
ACTA1,-0.1361793687541286
ACTBL2,0.022062667226541294
ACTC1,-0.038933637806932826
ACTG1,-0.8314512665569727
ACTG2,0.03890621485370054
ACTL6A,-1.5797455692391973
ACTL6B,0.052474962189282895
ACTL7A,-0.12225805440232004
ACTN1,-0.1873280097699987
ACTN2,-0.01772332389668528
ACTN3,-0.21568165354438812
ACTN4,0.06097720297564125
ACTR10,-1.2446959057925968
ACTR1A,-1.192738290487988
ACTR1B,-0.2783092398638755
ACTR2,-1.6623482834161287
ACTR3,-0.6047789844974915
ACTR3B,0.023281664068493045
ACTR3C,-0.006391336909446202
ACTR5,-0.49589700060459446
ACTR6,-0.7783729836433565
ACTR8,-0.5926235851256414
ACVR1,0.044886727793413995
ACVR1B,-0.26077602480962114
ACVR1C,0.026130366505655967
ACVR2A,-0.1461680919621725
ACVR2B,0.05954152285871151
ACVRL1,0.011624001749847172
ACY1,0.01816456606810471
ACYP2,0.03332264981196908
ADA,-0.007654944709485028
ADAM10,0.09915518479223283
ADAM11,-0.31635963715302845
ADAM12,-0.03743525269321359
ADAM15,-0.10593840725229535
ADAM17,0.09740691041726746
ADAM19,0.15006076831985202
ADAM2,0.00674347288256319
ADAM21,-0.0175807364168567
ADAM22,-0.026080596324001396
ADAM28,0.10081801315796092
ADAM30,-0.1320524117762446
