gene,log2FC,tumor_var,normal_var,zscore_var,zscore_mean
A1BG,0.07538975589097865,0.012152721102925597,0.002400910600700589,5.061713293022823,1.538595091195242
A1CF,0.002221873273836071,0.0007177424088732674,0.001095411083782318,0.6552265350419831,0.06713217523229131
A2M,0.012677152344473086,0.06753612146113719,0.09479247524640456,0.712462896296178,0.041175110891302144
A4GALT,0.09101140847302336,0.07392129068633357,0.07971392069310973,0.9273322657271219,0.3223507985039752
A4GNT,0.11762923128882107,0.04369030163149886,0.00205099617014259,21.301990841095204,2.59736410388225
AAAS,0.16901463481723322,0.019471625505992903,0.010358414875945413,1.879788147046554,1.6606482825677287
AACS,0.06299644232090129,0.033477142825904416,0.047737622030488765,0.7012737836946187,0.2883272122294157
AADAT,0.03197124661949435,0.31594805904040346,0.09326761900010423,3.3875428838818173,0.10468733051213264
AAK1,0.28579055301822764,0.05016990267266877,0.04782065776913766,1.0491261520256066,1.3068931934175099
AAMP,0.07101403566113795,0.006738840098529986,0.006119353392497343,1.1012340138407692,0.9078026092752483
AANAT,0.2555429619910791,0.11132793110538265,0.036463998972134766,3.053091658719545,1.3382331278004254
AAR2,0.18519644814915592,0.014787194938557763,0.011818859930693032,1.2511523975469179,1.7035106785542262
AARS2,0.10474068919420398,0.02912812225392357,0.04092324334046623,0.7117745290027068,0.5177622754086881
AARSD1,0.29779559566973135,0.08794136011304837,0.028582217979574054,3.076785719565035,1.7614499468884905
AASDHPPT,0.05128949841187813,0.04765802607879879,0.019540510053095993,2.4389346004429333,0.3669108073386273
AASS,-0.16081456194134947,0.17389476260151354,0.06302925094198288,2.75895334313238,-0.6405518636945498
AATF,0.25599407750869885,0.011244873763172028,0.016351604166714214,0.6876923908213505,2.001933906552445
ABAT,-0.21113848445721262,0.2781392672860486,0.13956355746274132,1.9929218797700996,-0.5651729716712741
ABCA1,0.31941517102665284,0.12586816488356425,0.10063104455675073,1.2507886153619434,1.0069074387111816
ABCA2,0.07422263482878289,0.16560922636503184,0.12890257413387343,1.2847627557308214,0.20673098420934716
ABCA7,-0.07018254065087359,0.08650510988537136,0.08001067131920675,1.081169654735863,-0.24811620433237527
ABCB1,-0.22241005945893955,0.19988727818645757,0.13974218290834425,1.4304004276043263,-0.5949639676359948
ABCB10,0.08322832270309011,0.052511833155135974,0.03138177176527209,1.6733227667294113,0.46982098672103323
ABCB4,-0.12868426584607,0.09266780733552091,0.14662065097166135,0.632024252527918,-0.3360685541299227
ABCB6,0.22282231514332318,0.07303386317850838,0.011109716647860932,6.5738727182182775,2.114010748220031
ABCB7,0.04106696406597532,0.02386045153422546,0.014648165849156758,1.6289036989295822,0.3393133711144238
ABCC1,0.26052791624444804,0.050647633167146634,0.07115784600543627,0.7117645630149801,0.9766588039313002
ABCC11,0.10189273970706103,0.028164339725968733,0.026281557989448066,1.0716388936027548,0.6285179514193365
ABCC3,0.18235209952079057,0.19375907085214752,0.1655745523568069,1.1702225257091672,0.44814027173843246
ABCC8,-0.04378239223345208,0.018770907406375822,0.015283866957667312,1.228151714377438,-0.35414642579915157
ABCC9,-0.022833800158514217,0.26847119681663595,0.455994341190962,0.5887599309137155,-0.03381414955902874
ABCD1,0.4354556356504977,0.06928089308165256,0.07419905475788362,0.9337166532339363,1.5986181122311343
ABCD2,-0.1555126273098708,0.13147385923104427,0.19731727690269996,0.666306880445526,-0.35009273777203975
ABCD3,-0.14064889944770664,0.030182611996492643,0.03529492641355204,0.8551544106606644,-0.748652359808407
ABCD4,0.15722423491205118,0.03454924713978192,0.03662933658048259,0.9432124729824081,0.8214950739769227
ABCE1,0.14520884400996037,0.026517772812598157,0.025253210478510278,1.050075309638908,0.9137655251748833
ABCF1,0.14145279524790677,0.01035785774666518,0.010309168597271743,1.0047228977714393,1.393155881896729
ABCG1,0.3543819538906694,0.07117554978676637,0.08543138850853634,0.8331311363346796,1.2124472863004383
ABCG2,-0.021090427270627377,0.18609845278524428,0.11054512828453697,1.6834613670738818,-0.06343304714573704
ABCG4,-0.09836623822661295,0.2063601157545018,0.23573380004546926,0.8753946855083937,-0.20259799106170998
ABCG8,0.03817564765347946,0.011657257679513963,0.0005109629244395995,22.81429262661102,1.6888524928776276
ABHD12,0.0976401101844715,0.01728457120700574,0.02643850704728947,0.6537650244807522,0.6004955551873965
ABHD5,-0.1731745867498824,0.03795312060123024,0.03453882872291961,1.0988537250553885,-0.9318164156643222
ABHD6,0.07318786910991193,0.06412357324364305,0.09277549677847853,0.6911692792845063,0.24028267514946175
ABI1,0.050565325794481364,0.016982852620037403,0.026425596585355125,0.6426667630826233,0.3110573081807384
ABI2,0.20894719837552422,0.09180331469397376,0.07761588863523271,1.1827902290137655,0.749999951484701
ABI3,0.19600647280601535,0.11638189985910108,0.07791459963018603,1.4937110684197352,0.7022002694996894
ABL1,0.12511510269738535,0.03717527233822989,0.03349932632185793,1.1097319385188167,0.6835837024990764
ABL2,0.510196134624761,0.062248613782001146,0.08223954126663936,0.7569183001663026,1.7790855176144924
ABLIM2,-0.21125321545240627,0.19058225021721545,0.3080666656260608,0.6186396370730645,-0.3806106830712099
ABLIM3,-0.25518866033858556,0.16850392114944757,0.171682137045253,0.9814877892918601,-0.6158838510358481
ABR,-0.06189440334662066,0.03269103954907992,0.03659230915803717,0.8933855310385519,-0.3235612261314579
ABRA,-0.7454918126539761,0.2784260025375513,1.0719052395931916,0.2597487093571988,-0.7200533599957352
ABRAXAS1,-0.11664513514656649,0.09588705876847849,0.07507443184667971,1.2772265658207473,-0.42571661817846557
ABRAXAS2,0.09588174534904947,0.01888621275854371,0.015458503656539032,1.2217361510636708,0.7711736900839923
ABT1,0.13954553889733257,0.011882738564630986,0.01279196871217524,0.9289217971054852,1.2338070938706325
ABTB1,0.34221245768889563,0.03388021134831016,0.06599344430776646,0.51338752968108,1.3321263457608217
ACAA1,-0.13539629709471512,0.020294786935780237,0.015279190797056343,1.328263204860967,-1.0953593256332075
ACAA2,-0.05660382168714917,0.11618339822862718,0.2247046232487255,0.5170494338250612,-0.11940973929926166
ACACA,0.16725717156290187,0.03709872347502712,0.06452147149400382,0.5749826006134224,0.658464880368381
ACACB,-0.4762241885567522,0.21733332073426642,0.3082705956144759,0.7050082746330557,-0.8577197290266384
ACAD10,0.08871832839522242,0.03388337568240075,0.03221206600699099,1.051884584957916,0.49431530828956627
ACAD8,-0.15843585903112434,0.0485798598317122,0.039732452550191616,1.2226745824548395,-0.7948419793981255
ACAD9,0.14580827692893905,0.012987038817959182,0.013285469767473808,0.9775370419911492,1.2650093049791906
ACADL,-0.6449283932964185,0.13224478339219933,0.21927468836275255,0.6031009980204501,-1.377264160015237
ACADM,-0.18626233160768502,0.05589288826128733,0.05629534456547129,0.9928509842636113,-0.7850345923968077
ACADS,-0.08752405226799764,0.05122310619287587,0.04774801077640693,1.0727798993080984,-0.4005435800439983
ACADSB,-0.37987724928538014,0.13588278563766806,0.07580995191927983,1.7924135578182665,-1.3796857349354739
ACADVL,-0.08985185219918979,0.010255057606223328,0.005887114469142122,1.7419497548376552,-1.1710509585011906
ACAN,0.5548817700991926,0.2410637025792838,0.1208998123794474,1.9939129584643078,1.5958337418635307
ACAT1,-0.1971586531914582,0.04029649046326733,0.051502973883251285,0.7824109449410203,-0.868759745456041
ACAT2,0.02513385392143297,0.13007017711078697,0.07406307811447901,1.75620809210411,0.09235453112532013
ACBD3,0.05960353448587652,0.01746285168716102,0.02492449913786402,0.7006299942305505,0.37753636864124496
ACBD6,0.2538662697116134,0.023453564824052118,0.013559955130322775,1.729619648342733,2.180097291457336
ACE,0.28179080232224374,0.142124922822048,0.21260701533759455,0.6684865153502604,0.61113621235404
ACE2,0.01963953344534547,0.10346738279540346,0.05789220439239322,1.7872420627499666,0.08162461073415327
