	MF: KIRC	MF: BRCA	MF: READ	MF: PRAD	MF: STAD	MF: HNSC	MF: LUAD	MF: THCA	MF: BLCA	MF: ESCA	MF: LIHC	MF: UCEC	MF: COAD	MF: LUSC	MF: CESC	MF: KIRP	METH: KIRC	METH: BRCA	METH: READ	METH: PRAD	METH: STAD	METH: HNSC	METH: LUAD	METH: THCA	METH: BLCA	METH: ESCA	METH: LIHC	METH: UCEC	METH: COAD	METH: LUSC	METH: CESC	METH: KIRP	GE: KIRC	GE: BRCA	GE: READ	GE: PRAD	GE: STAD	GE: HNSC	GE: LUAD	GE: THCA	GE: BLCA	GE: ESCA	GE: LIHC	GE: UCEC	GE: COAD	GE: LUSC	GE: CESC	GE: KIRP	CNA: KIRC	CNA: BRCA	CNA: READ	CNA: PRAD	CNA: STAD	CNA: HNSC	CNA: LUAD	CNA: THCA	CNA: BLCA	CNA: ESCA	CNA: LIHC	CNA: UCEC	CNA: COAD	CNA: LUSC	CNA: CESC	CNA: KIRP
A1BG	0.0128375005428279	0.0106286201343383	0.0282882888234202	0.0227740599217935	0.0130542594179326	0.0054026757619104	0.0	0.0	0.0	0.0	0.0501144660689836	0.0077118891205295	0.0054464575937973	0.0	0.0	0.0409696193815928	0.0164740772083899	0.0305842464253452	0.3263618859182434	0.0788597723537957	0.3170128265352808	0.0996426629352224	0.0649966446508257	0.0529109106812036	0.4002908271885593	0.0154124465227656	0.1555410319331943	0.192009226340632	0.185412097302436	0.0306700373725018	0.0316807231706064	0.2163472015536809	0.0232334206857438	0.1264501908774139	0.0961057528056073	0.2534600812471442	0.0766784239768116	0.0864499030830907	0.0109805236591915	0.1085693305726118	0.011978180379676	0.0269873031848502	0.1779140945146006	0.1141002014052618	0.1128850017485798	0.0069677959792286	0.2046610502641318	0.0033704892029843	0.0	0.0	0.2448979591836734	0.0	0.0	0.2552631578947368	0.0	0.0	0.0	0.0	0.0	0.26171875	0.0	0.0	0.1674008810572687	0.0954773869346733
A1CF	0.0126976360906859	0.031240278046706	0.0277624400541984	0.0903405657226574	0.0114484654140042	0.0053625215670072	0.1179009113741144	0.0	0.0285751203553613	0.0	0.024671972238668	0.0102512665309158	0.0	0.0	0.0214651631888983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0191204527347148	0.0	0.0034513804102759	0.0	0.1015471235900764	0.0	0.0	0.0	0.0	0.3303365446881845	0.0679944397434059	0.0	0.0815570758018705	0.0	0.0	0.2557293469283317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3172413793103448	0.0	0.1953125	0.0	0.0	0.0	0.0954773869346733
A2M	0.0128358304408676	0.010607538074263	0.0	0.0227726376292168	0.0389976613242314	0.0162035268319866	0.122328317822393	0.0036009709130078	0.0307399745708925	0.0270276597891915	0.0	0.019195733017007	0.0162036122209961	0.1097691213104479	0.0	0.0408772422030648	0.2831678221245827	0.4165352053975168	0.2060662386134087	0.2912895287422301	0.3850525266512759	0.3251162105572467	0.0522813629671464	0.0523685498090491	0.0899321478304917	0.307909196222112	0.0236172826217744	0.4088575634976305	0.1149235039473972	0.0491243478237003	0.620858832102457	0.0899818007076731	0.0231987656182022	0.1756998749081169	0.0963653768418793	0.0391360288791706	0.0028474146660556	0.0094366489465932	0.2616542554027627	0.0538212044814557	0.2609753166779791	0.0596006227058163	0.1423401890080924	0.2281078521622079	0.1083923264041085	0.3622456103554256	0.3085363210224193	0.0696283717743234	0.0	0.0	0.1360544217687075	0.0	0.2491909385113268	0.0	0.3713527851458886	0.0	0.0	0.0	0.0	0.0	0.1840490797546012	0.0	0.0	0.0
A4GALT	0.0	0.0	0.0	0.0227275218977478	0.0	0.0054023249201377	0.0	0.0	0.0	0.0	0.0	0.0	0.0108538522732615	0.0	0.0548420951765056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0460140356941592	0.0565367589092751	0.0726514909629067	0.0977692027906959	0.0711607323827828	0.0060908625163204	0.03006420257355	0.0006605376587869	0.0899769479421056	0.0191845683083127	0.0752785066386532	0.0417623205149538	0.0463545819025643	0.0830874126020601	0.0121152837110189	0.0325378436949428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.988888888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GNT	0.0	0.005309091783195	0.0	0.0227732574640251	0.0129925137503469	0.0110053485781389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0548574366129767	0.0281713036542394	0.0409738238060632	0.127466216835898	0.3311385343997436	0.4538381293810218	0.0543359042857297	0.3725878574342307	0.4931386691663378	0.2304633329079063	0.016454804237449	0.4644890488838246	0.1571553835526991	0.236359343776057	0.2021460682900262	0.3061223260899099	0.3887160069813338	0.3870497700651785	0.0802772302363979	0.0542035811878423	0.3141863506698658	0.0	0.0	0.0999208333393821	0.1234930929584298	0.2483652143820652	0.1867732931929381	0.1518121090469994	0.0	0.2734905275826106	0.2422244140934288	0.0	0.2565198620511488	0.0564364764934538	0.0318024680815732	0.3462365591397849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	0.0256614119224573	0.0053055241491167	0.0	0.0	0.0127457090463682	0.0164245462713941	0.0	0.0036039770650489	0.0	0.0	0.0	0.0038287301796583	0.0	0.0	0.0	0.0408718997329828	0.1324574159357737	0.1475285622834334	0.0441667634819004	0.2015508906275153	0.248668381621303	0.1901204209991159	0.0132595240049231	0.0596539382644178	0.2352576438034745	0.3434235230479451	0.000570116299311	0.0787536089611112	0.0433489221898047	0.1091550694630691	0.0105669944630559	0.0283860183992315	0.0168214781397716	0.0036607297869719	0.0287472983051031	0.0389757935481071	0.0059517116735558	0.0194990026439539	0.0305231034450884	0.0226061158542283	0.0247017550452929	0.0275475826537597	0.0596376818989427	0.0150708799235935	0.0243317810292625	0.0437757777348193	0.0084438678728908	0.0325219542360235	0.0	0.0	0.1360544217687075	0.0	0.1909385113268608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AACS	0.0	0.0	0.0283968845790988	0.0	0.0386161745501048	0.0161183005340696	0.020503804600914	0.0036021198681119	0.0	0.0	0.0	0.0115569351013734	0.0	0.0	0.0	0.0	0.0159490016996605	0.0225983272740278	0.0104837807929353	0.0136760703849048	0.0003080530112818	0.0028530554454256	0.0519301268804419	0.0090469760399647	0.0229979458847595	0.0107871221352485	0.031622539455983	0.0131889649096802	0.0102746258431307	0.0273851385927791	0.0069251886009913	0.0315690359181458	0.0448874166564223	0.0320134920203458	0.0079036807651976	0.0445448528518657	0.0148453661563562	0.0208780009734551	0.0507603736923569	0.0376205925847602	0.063963975173681	0.0230411851507396	0.1096416321843782	0.0675577701495715	0.002561582288443	0.058245741059064	0.1081344520965491	0.00648499021659	0.0	0.267427122940431	0.0	0.1462585034013605	0.0	0.1657894736842105	0.3527851458885941	0.0	0.0	0.0	0.2177121771217712	0.2578125	0.0	0.1902654867256637	0.0	0.0
AADAT	0.0127964959356506	0.0	0.0	0.0450230930104228	0.0125167437649477	0.0108269222641234	0.0407897027247552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178648831698391	0.1704790348591044	0.0311945685802794	0.0108420104202419	0.2183650764939864	0.1095921396882155	0.0950181243110455	0.0195311528765159	0.0376698195301699	0.0654091084937788	0.0083276199630879	0.0055133241174981	0.0344412044304025	0.0717745360842767	0.1360906098746329	0.0254487301950326	0.0494577074042578	0.1027332031315439	0.0393007706016728	0.0792332992960094	0.0172776524012163	0.0205794809153659	0.051110085333433	0.0554696533883482	0.0016883939327117	0.0166823925416482	0.3400164208689501	0.0285090725573124	0.0787067060473631	0.0597663702626367	0.1255476070768396	0.0375169611103806	0.1677419354838709	0.0	0.0	0.0	0.0	0.0	0.0	0.0555555555555555	0.6704545454545454	0.6827586206896552	0.0	0.0	0.0	0.0	0.0	0.0
AAK1	0.0	0.0210426385881577	0.0	0.0453973993219783	0.0	0.0	0.0789399902464328	0.0	0.0	0.0	0.0249257841196322	0.0222137027842	0.0106011774015501	0.0	0.0279421746802651	0.0406006214529607	0.0070456383807669	0.0043143247231071	0.0033518045440517	0.0114829821599218	0.0307788468664223	0.0035947082499402	0.0149002530771857	0.008498292941824	0.0090264989881611	0.012878507878698	0.0012962691119419	0.0031021151820441	0.0093580547113006	0.0231368171425598	0.0058647317638316	0.0002651030073474	0.0669390678053096	0.0394613786705759	0.0839711893231354	0.0044245443273875	0.0182725953802214	0.0043969982318864	0.0613406916889271	0.1657573968862292	0.031081617417189	0.0622392715213719	0.0177785579407786	0.045261291983405	0.0696426824479413	0.0096814915957277	0.0023048928121495	0.0627375346607883	0.0	0.0	0.0884353741496598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0402010050251256
AAMP	0.0	0.0	0.0278937781987084	0.0	0.0	0.0	0.0	0.0	0.0	0.0269604602621897	0.0249703035330788	0.0038149318517809	0.0053103684118192	0.0	0.0	0.0408974493843288	0.0051216402027582	0.0025467226735474	0.0024237032126002	0.0076150790833988	0.0002564878335584	0.0077124953505098	0.0035214839497495	0.004922269072763	0.0123324301911529	0.0016350979040614	0.0055727730156705	0.004989607627501	0.0020877542220221	0.0065903520967839	0.0038232757318056	0.0070892249599733	0.006001114043006	0.0189353338305957	0.0208562430333478	0.0289479544270827	0.0028862239868338	0.0087023307352527	0.0306426039451307	0.0157748062865734	0.0137130584440614	0.0104248081079576	0.0129932346860485	0.0131236289575424	0.0015677791445421	0.0337877462428002	0.0184190838369227	0.0175306818273149	0.0	0.0	0.0	0.0	0.0	0.413157894736842	0.0	0.1444444444444444	0.0	0.0	0.0	0.0	0.0	0.3517699115044247	0.0	0.0603015075376884
