gene,missense_ratio,nonsense_ratio,frameshift_ratio,splice_ratio
A1BG,0.0,0.0,0.0,0.0
A1CF,0.0,0.0,0.0,0.0
A2M,0.010869565217391304,0.0,0.0,0.0
A4GALT,0.005434782608695652,0.0,0.0,0.0
A4GNT,0.0,0.005434782608695652,0.0,0.0
AAAS,0.0,0.0,0.005434782608695652,0.0
AACS,0.016304347826086956,0.0,0.0,0.0
AADAT,0.005434782608695652,0.0,0.0,0.0
AAK1,0.010869565217391304,0.0,0.005434782608695652,0.0
AAMP,0.0,0.0,0.0,0.0
AANAT,0.0,0.0,0.0,0.0
AAR2,0.005434782608695652,0.0,0.0,0.0
AARS2,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0
AARSD1,0.0,0.0,0.0,0.0
AASDHPPT,0.0,0.0,0.0,0.0
AASS,0.005434782608695652,0.0,0.0,0.0
AATF,0.0,0.0,0.0,0.0
ABAT,0.0,0.0,0.0,0.0
ABCA1,0.021739130434782608,0.0,0.0,0.0
ABCA2,0.02717391304347826,0.005434782608695652,0.0,0.0
ABCA7,0.005434782608695652,0.0,0.0,0.0
ABCB1,0.03260869565217391,0.0,0.0,0.0
ABCB10,0.0,0.0,0.0,0.0
ABCB4,0.010869565217391304,0.0,0.010869565217391304,0.0
ABCB6,0.016304347826086956,0.0,0.0,0.0
ABCB7,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.0
ABCC11,0.016304347826086956,0.0,0.0,0.0
ABCC3,0.005434782608695652,0.0,0.0,0.0
ABCC8,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.0
ABCC9,0.03260869565217391,0.0,0.0,0.0
ABCD1,0.0,0.0,0.0,0.0
ABCD2,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.005434782608695652
ABCD3,0.0,0.0,0.0,0.0
ABCD4,0.0,0.0,0.0,0.0
ABCE1,0.010869565217391304,0.0,0.0,0.0
ABCF1,0.0,0.0,0.005434782608695652,0.0
ABCG1,0.0,0.0,0.0,0.005434782608695652
ABCG2,0.0,0.0,0.0,0.0
ABCG4,0.0,0.0,0.0,0.0
ABCG8,0.016304347826086956,0.0,0.0,0.0
ABHD12,0.005434782608695652,0.0,0.0,0.0
ABHD5,0.005434782608695652,0.0,0.0,0.0
ABHD6,0.010869565217391304,0.0,0.0,0.0
ABI1,0.0,0.0,0.0,0.0
ABI2,0.005434782608695652,0.0,0.0,0.0
ABI3,0.005434782608695652,0.0,0.0,0.0
ABL1,0.010869565217391304,0.0,0.0,0.0
ABL2,0.0,0.0,0.0,0.0
ABLIM2,0.0,0.0,0.0,0.0
ABLIM3,0.0,0.0,0.0,0.0
ABR,0.005434782608695652,0.0,0.0,0.005434782608695652
ABRA,0.005434782608695652,0.0,0.0,0.0
ABRAXAS1,0.0,0.0,0.0,0.0
ABRAXAS2,0.0,0.0,0.0,0.0
ABT1,0.005434782608695652,0.0,0.0,0.0
ABTB1,0.005434782608695652,0.0,0.0,0.0
ACAA1,0.005434782608695652,0.0,0.0,0.0
ACAA2,0.005434782608695652,0.0,0.005434782608695652,0.0
ACACA,0.03804347826086957,0.0,0.0,0.0
ACACB,0.02717391304347826,0.0,0.0,0.005434782608695652
ACAD10,0.005434782608695652,0.0,0.0,0.0
ACAD8,0.0,0.0,0.0,0.0
ACAD9,0.005434782608695652,0.0,0.0,0.0
ACADL,0.005434782608695652,0.0,0.005434782608695652,0.0
ACADM,0.0,0.0,0.0,0.0
ACADS,0.0,0.0,0.0,0.0
ACADSB,0.0,0.0,0.0,0.0
ACADVL,0.005434782608695652,0.0,0.0,0.0
ACAN,0.021739130434782608,0.0,0.0,0.0
ACAT1,0.0,0.0,0.010869565217391304,0.0
ACAT2,0.005434782608695652,0.0,0.0,0.0
ACBD3,0.005434782608695652,0.0,0.0,0.0
ACBD6,0.0,0.0,0.0,0.0
ACE,0.010869565217391304,0.005434782608695652,0.0,0.0
ACE2,0.010869565217391304,0.0,0.0,0.0
ACER1,0.0,0.0,0.0,0.0
ACER2,0.0,0.0,0.0,0.0
ACER3,0.0,0.0,0.0,0.0
ACHE,0.010869565217391304,0.0,0.0,0.0
ACIN1,0.0,0.0,0.0,0.0
ACKR1,0.016304347826086956,0.0,0.0,0.0
ACKR2,0.0,0.0,0.0,0.0
ACKR3,0.0,0.0,0.0,0.0
ACLY,0.010869565217391304,0.0,0.0,0.0
ACMSD,0.0,0.0,0.0,0.0
ACO1,0.0,0.0,0.005434782608695652,0.0
ACO2,0.005434782608695652,0.0,0.0,0.0
ACOT1,0.0,0.0,0.0,0.0
ACOT11,0.0,0.0,0.0,0.0
ACOT12,0.005434782608695652,0.0,0.0,0.0
ACOT13,0.0,0.0,0.0,0.0
ACOT2,0.0,0.0,0.0,0.0
ACOT4,0.005434782608695652,0.0,0.0,0.0
ACOT7,0.0,0.0,0.0,0.0
ACOT8,0.0,0.0,0.0,0.0
ACOX1,0.005434782608695652,0.005434782608695652,0.0,0.0
ACOX2,0.005434782608695652,0.0,0.0,0.0
ACOX3,0.005434782608695652,0.0,0.0,0.0
ACP1,0.0,0.0,0.0,0.0
ACP2,0.005434782608695652,0.0,0.0,0.0
ACP5,0.0,0.0,0.0,0.0
ACR,0.0,0.0,0.0,0.0
ACSBG1,0.010869565217391304,0.0,0.0,0.0
ACSF3,0.005434782608695652,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0
ACSL3,0.010869565217391304,0.0,0.0,0.0
ACSL4,0.005434782608695652,0.0,0.0,0.0
ACSL5,0.0,0.005434782608695652,0.0,0.0
ACSM1,0.0,0.0,0.0,0.0
ACSM2B,0.016304347826086956,0.0,0.0,0.0
ACSM5,0.016304347826086956,0.0,0.0,0.0
ACSS1,0.005434782608695652,0.0,0.0,0.0
ACSS2,0.005434782608695652,0.0,0.0,0.0
ACSS3,0.02717391304347826,0.0,0.0,0.0
ACTA1,0.005434782608695652,0.0,0.0,0.0
ACTBL2,0.005434782608695652,0.0,0.0,0.0
ACTC1,0.0,0.0,0.0,0.0
ACTG1,0.005434782608695652,0.0,0.005434782608695652,0.0
ACTG2,0.0,0.0,0.0,0.0
ACTL6A,0.0,0.0,0.0,0.0
ACTL6B,0.0,0.0,0.0,0.0
ACTL7A,0.010869565217391304,0.0,0.0,0.0
ACTN1,0.0,0.0,0.0,0.0
ACTN2,0.03260869565217391,0.0,0.0,0.0
ACTN3,0.021739130434782608,0.0,0.0,0.0
ACTN4,0.010869565217391304,0.0,0.0,0.0
ACTR10,0.005434782608695652,0.0,0.0,0.0
ACTR1A,0.0,0.0,0.0,0.0
ACTR1B,0.0,0.0,0.0,0.0
ACTR2,0.0,0.0,0.0,0.0
ACTR3,0.005434782608695652,0.0,0.0,0.0
ACTR3B,0.005434782608695652,0.0,0.0,0.0
ACTR3C,0.0,0.0,0.0,0.0
ACTR5,0.005434782608695652,0.0,0.0,0.0
ACTR6,0.005434782608695652,0.0,0.0,0.0
